Model Name, time
 model_v2_batchSize_16_hidSize_128_dropPer_0.1_wordDim_1024, 181.72330117225647
 model_v2_batchSize_16_hidSize_128_dropPer_0.1_wordDim_2048, 182.66122198104858
 model_v2_batchSize_16_hidSize_128_dropPer_0.2_wordDim_1024, 180.62515354156494
 model_v2_batchSize_16_hidSize_128_dropPer_0.2_wordDim_2048, 183.20003080368042
 model_v2_batchSize_16_hidSize_128_dropPer_0.3_wordDim_1024, 181.8157298564911
 model_v2_batchSize_16_hidSize_128_dropPer_0.3_wordDim_2048, 182.91039657592773
 model_v2_batchSize_16_hidSize_128_dropPer_0.4_wordDim_1024, 182.5373513698578
 model_v2_batchSize_16_hidSize_128_dropPer_0.4_wordDim_2048, 180.07317090034485
 model_v2_batchSize_16_hidSize_256_dropPer_0.1_wordDim_1024, 181.33368706703186
 model_v2_batchSize_16_hidSize_256_dropPer_0.1_wordDim_2048, 182.45576930046082
 model_v2_batchSize_16_hidSize_256_dropPer_0.2_wordDim_1024, 183.18769931793213
 model_v2_batchSize_16_hidSize_256_dropPer_0.2_wordDim_2048, 183.04120087623596
 model_v2_batchSize_16_hidSize_256_dropPer_0.3_wordDim_1024, 183.0597631931305
 model_v2_batchSize_16_hidSize_256_dropPer_0.3_wordDim_2048, 183.34215807914734
 model_v2_batchSize_16_hidSize_256_dropPer_0.4_wordDim_1024, 182.87006831169128
 model_v2_batchSize_16_hidSize_256_dropPer_0.4_wordDim_2048, 181.98621535301208
 model_v2_batchSize_16_hidSize_512_dropPer_0.1_wordDim_1024, 185.3970365524292
 model_v2_batchSize_16_hidSize_512_dropPer_0.1_wordDim_2048, 188.86787366867065
 model_v2_batchSize_16_hidSize_512_dropPer_0.2_wordDim_1024, 188.3107726573944
 model_v2_batchSize_16_hidSize_512_dropPer_0.2_wordDim_2048, 189.1402883529663
 model_v2_batchSize_16_hidSize_512_dropPer_0.3_wordDim_1024, 189.3545320034027
 model_v2_batchSize_16_hidSize_512_dropPer_0.3_wordDim_2048, 187.45307087898254
 model_v2_batchSize_16_hidSize_512_dropPer_0.4_wordDim_1024, 188.2411403656006
 model_v2_batchSize_16_hidSize_512_dropPer_0.4_wordDim_2048, 188.0374002456665
 model_v2_batchSize_16_hidSize_1024_dropPer_0.1_wordDim_1024, 209.94535207748413
 model_v2_batchSize_16_hidSize_1024_dropPer_0.1_wordDim_2048, 221.438884973526
 model_v2_batchSize_16_hidSize_1024_dropPer_0.2_wordDim_1024, 208.6965742111206
 model_v2_batchSize_16_hidSize_1024_dropPer_0.2_wordDim_2048, 223.01430702209473
 model_v2_batchSize_16_hidSize_1024_dropPer_0.3_wordDim_1024, 210.829829454422
 model_v2_batchSize_16_hidSize_1024_dropPer_0.3_wordDim_2048, 222.34009218215942
 model_v2_batchSize_16_hidSize_1024_dropPer_0.4_wordDim_1024, 211.5652060508728
 model_v2_batchSize_16_hidSize_1024_dropPer_0.4_wordDim_2048, 220.89431381225586
 model_v2_batchSize_32_hidSize_128_dropPer_0.1_wordDim_1024, 126.76121211051941
 model_v2_batchSize_32_hidSize_128_dropPer_0.1_wordDim_2048, 126.64353728294373
 model_v2_batchSize_32_hidSize_128_dropPer_0.2_wordDim_1024, 127.37198972702026
 model_v2_batchSize_32_hidSize_128_dropPer_0.2_wordDim_2048, 125.8590795993805
 model_v2_batchSize_32_hidSize_128_dropPer_0.3_wordDim_1024, 125.95605492591858
 model_v2_batchSize_32_hidSize_128_dropPer_0.3_wordDim_2048, 126.48728728294373
 model_v2_batchSize_32_hidSize_128_dropPer_0.4_wordDim_1024, 127.2450921535492
 model_v2_batchSize_32_hidSize_128_dropPer_0.4_wordDim_2048, 126.60087442398071
 model_v2_batchSize_32_hidSize_256_dropPer_0.1_wordDim_1024, 127.75355672836304
 model_v2_batchSize_32_hidSize_256_dropPer_0.1_wordDim_2048, 127.3069121837616
 model_v2_batchSize_32_hidSize_256_dropPer_0.2_wordDim_1024, 128.58946633338928
 model_v2_batchSize_32_hidSize_256_dropPer_0.2_wordDim_2048, 127.84712862968445
 model_v2_batchSize_32_hidSize_256_dropPer_0.3_wordDim_1024, 127.71212148666382
 model_v2_batchSize_32_hidSize_256_dropPer_0.3_wordDim_2048, 128.2831358909607
 model_v2_batchSize_32_hidSize_256_dropPer_0.4_wordDim_1024, 127.16417717933655
 model_v2_batchSize_32_hidSize_256_dropPer_0.4_wordDim_2048, 127.89386248588562
 model_v2_batchSize_32_hidSize_512_dropPer_0.1_wordDim_1024, 129.7540090084076
 model_v2_batchSize_32_hidSize_512_dropPer_0.1_wordDim_2048, 129.7946035861969
 model_v2_batchSize_32_hidSize_512_dropPer_0.2_wordDim_1024, 131.05563354492188
 model_v2_batchSize_32_hidSize_512_dropPer_0.2_wordDim_2048, 132.10874032974243
 model_v2_batchSize_32_hidSize_512_dropPer_0.3_wordDim_1024, 129.46994400024414
 model_v2_batchSize_32_hidSize_512_dropPer_0.3_wordDim_2048, 131.45824670791626
